"name";"lat";"lon"
"henan univ";35,7711619;114,9507355
"univ almeria";36,8394698;-2,467447926
"univ andres bello";8,3381485;-62,67082061
"theory lab";33,6431742;-117,8555483
"univ illinois";37,936437;-88,6094993
"guangdong univ foreign studies";23,2043067;113,2855028
"univ nebraska";40,83827205;-96,64793042
"cent s univ";43,6657638;-79,4034621
"fujian normal univ";26,04389955;119,30803
"univ athens";33,95690765;-83,37543037
"univ aegean";39,0862969;26,5699006
"univ penn";51,6055436;-0,637315895
"state univ campinas unicamp";-22,8224781;-47,06425993
"paulista univ unip";-23,5656734;-46,6510828
"pukyong natl univ daeyeon";35,1333862;129,1049784
"univ tunku abdul rahman";3,0397932;101,794272
"jouf univ al jouf";29,7851094;40,0354435
"nanchang univ";28,66126865;115,7975974
"univ basque country";43,2962378;-2,8664444
"govt coll univ faisalabad";31,4172466;73,0701464
"govt coll univ";30,21931925;71,47647377
"moscow state law univ";55,7603421;37,6212011
"univ north carolina greensboro";35,088429;-78,904627
"webster univ geneva";46,2569459;6,15208979
"univ newcastle";-32,8870387;151,7098651
"univ toulouse capitole";43,60594355;1,441146547
"univ lisbon";38,73674335;-9,138392289
"plymouth univ";50,3755269;-4,139376874
"kunsan natl univ";35,975285;126,730101
"deemed be univ";17,5504017;78,16604823
"inje univ";35,2280744;128,9017745
"bahcesehir univ";41,02451875;28,97697953
"indian inst management indore";22,6272741;75,79053366
"univ utrecht";52,08340265;5,148284942
"manchester metropolitan univ";53,47188435;-2,2411075
"chung ang univ";37,50882;126,9619
"larbi tebessi univ";35,42640975;8,055489545
"univ west england";52,4511716;-1,9366021
"xian univ tech";49,20835585;16,59252361
"ecole cent lille";50,6424093;9,3907518
"obuda univ";47,5033615;19,06457711
"northwestern polytech univ";60,01248875;30,37574684
"karl franzens univ graz";47,07810475;15,4475057
"zhengzhou normal univ";34,86458515;113,6508819
"swinburne univ";1,53245465;110,3571505
"beijing tech and business univ";39,92380325;116,3084556
"khalifa univ";24,4469025;54,3942563
"univ nagasaki";32,7861999;129,865345
"rovira and virgili univ";41,1322968;1,242876055
"univ alcala de henares";40,4811572;-3,36647647
"amer coll greece";36,3458714;22,9489647
"effat univ";21,47850735;39,21140772
"ibm res zurich";47,393291;8,486091
"ibm res";48,7183588;21,2643753
"ibm res ruschlikon";47,3096368;8,544410319
"ibm res tokyo";35,6787645;139,7872199
"zaporizhia natl univ";47,82436215;35,17707209
"cent washington univ";40,7253961;-73,9841839
"univ extremadura";38,8953264;-6,969246952
"univ ceu san pablo";-22,7855315;-45,1811123
"univ huelva";37,2694608;-6,924430591
"kinnaird coll women";31,5365685;74,3405799
"china med univ";24,15639315;120,6797618
"univ texas austin";30,284151;-97,73195598
"univ econ katowice";14,7623593;121,0499364
"database res";45,7540379;21,2474487
"free univ bolzano";46,49832335;11,35009499
"univ lincoln";43,4833338;-80,5080325
"univ ghent";51,0250898;3,71353946
"bogazici univ";40,90698;31,18339123
"peoples friendship univ russia rudn univ";55,6506205;37,50144442
"middle east univ amman";32,1908172;34,9672749
"asan med ctr";37,52611855;127,1081163
"univ nevada";32,30372435;-106,7572182
"sukkur iba univ";27,7257661;68,8198626
"ningbo univ";29,9141759;121,6311126
"univ namur";50,45967895;4,845221937
"soonchunhyang univ";36,7695017;126,9502739
"western digital res";25,1239352;55,379983
"zhejiang gongshang univ";30,2874377;120,1319505
"heriot watt univ";55,91029135;-3,323457766
"univ durham";36,0373638;-79,0355663
"thapar univ";30,35566105;76,36581641
"tu dortmund univ";51,49148675;7,412253734
"erasmus univ";53,19880905;5,796266512
"univ allahabad";25,46577525;81,85762607
"trent univ ontario";44,3545422;-78,2939607
"lahore coll women univ";31,54462695;74,32646557
"vmware res";12,9065832;77,59484654
"frederick univ";35,1794444;33,3803423
"guangxi univ nationalities";22,8401683;108,2292105
"baikal state univ";52,2807365;104,2830593
"st petersburg state univ";59,94186255;30,29726066
"east china normal univ shanghai";31,2284923;121,4021139
"dept res and dev";43,1169528;-71,94960273
"uae univ";49,704941;24,571054
"yangzhou univ";32,3891879;119,4262143
"univ sargodha";32,073764;72,68326616
"robert bosch gmbh";51,54692915;9,897325246
"univ s florida";30,398803;-91,1759401
"nokia bell labs";45,5983942;9,357767135
"padjadjaran state univ";-6,92088225;107,7721925
"univ estadual campinas";-22,8243042;-47,0670361
"integral univ";26,9586164;81,0000896
"putera batam univ";1,04638;103,9689899
"mohamed v univ";36,8345663;10,17509861
